#TYPE Selected.Microsoft.PowerShell.Commands.LocalUser
"Name","FullName","SID","LastLogon"
"Administrator","","S-1-5-21-1412859040-4186938504-218366841-500",
"bellan","","S-1-5-21-1412859040-4186938504-218366841-1026",
"DefaultAccount","","S-1-5-21-1412859040-4186938504-218366841-503",
"Guest","","S-1-5-21-1412859040-4186938504-218366841-501",
"Horjamayn","","S-1-5-21-1412859040-4186938504-218366841-1001","10/27/2021 2:22:27 PM"
"nackni","","S-1-5-21-1412859040-4186938504-218366841-1027",
"russja","","S-1-5-21-1412859040-4186938504-218366841-1025",
"WDAGUtilityAccount","","S-1-5-21-1412859040-4186938504-218366841-504",
